fact_key,fact_index,prompt_id,prompt_variant,layer,lens,p_top1,top1_token_id,top1_token_str,p_answer,answer_rank,kl_norm_vs_raw_bits
Germany→Berlin,0,pos,orig,21,norm,8.925724978325889e-05,364, ',2.07768189284252e-05,897,0.048163961726900975
Germany→Berlin,0,pos,orig,21,raw,2.8586793632712215e-05,364, ',1.3394698726187926e-05,742,0.048163961726900975
Germany→Berlin,0,pos,orig,22,norm,8.058527600951493e-05,35511,tons,3.136312443530187e-05,111,0.057976813458385124
Germany→Berlin,0,pos,orig,22,raw,3.1745992600917816e-05,5042, simply,1.8551008906797506e-05,109,0.057976813458385124
Germany→Berlin,0,pos,orig,23,norm,7.86720120231621e-05,35511,tons,3.5774719435721636e-05,56,0.05216416532235528
Germany→Berlin,0,pos,orig,23,raw,3.915344859706238e-05,123684,واء,2.1226365788606927e-05,84,0.05216416532235528
Germany→Berlin,0,pos,orig,24,norm,8.008148142835125e-05,6864, capital,5.143837915966287e-05,7,0.06915390681892282
Germany→Berlin,0,pos,orig,24,raw,5.79730149183888e-05,115235, in,3.098792512901127e-05,37,0.06915390681892282
Germany→Berlin,0,pos,orig,25,norm,0.00013230618787929416,20437, Berlin,0.00013230618787929416,1,0.05389494497606019
Germany→Berlin,0,pos,orig,25,raw,7.161776011344045e-05,115235, in,6.348047463689e-05,3,0.05389494497606019
Germany→Berlin,0,pos,orig,26,norm,0.00017179483256768435,20437, Berlin,0.00017179483256768435,1,0.06939394622940676
Germany→Berlin,0,pos,orig,26,raw,0.00010787426435854286,20437, Berlin,0.00010787426435854286,1,0.06939394622940676
Germany→Berlin,0,pos,orig,27,norm,0.0001844052312662825,20437, Berlin,0.0001844052312662825,1,0.09844059058374774
Germany→Berlin,0,pos,orig,27,raw,0.00014634364924859256,115235, in,0.0001291677326662466,3,0.09844059058374774
Germany→Berlin,0,pos,orig,28,norm,0.00015829174662940204,20437, Berlin,0.00015829174662940204,1,0.11337162988153555
Germany→Berlin,0,pos,orig,28,raw,0.00022074086882639676,115235, in,0.00014407289563678205,5,0.11337162988153555
Germany→Berlin,0,pos,orig,29,norm,0.0001591120526427403,20437, Berlin,0.0001591120526427403,1,0.12141520471781071
Germany→Berlin,0,pos,orig,29,raw,0.0004604065034072846,115235, in,0.00016212608898058534,7,0.12141520471781071
Germany→Berlin,0,pos,orig,30,norm,0.00017104884318541735,20437, Berlin,0.00017104884318541735,1,0.19080514160166923
Germany→Berlin,0,pos,orig,30,raw,0.000920063117519021,115235, in,0.0002916176454164088,8,0.19080514160166923
Germany→Berlin,0,pos,orig,31,norm,0.00013926524843554944,25,:,0.000120153883472085,3,0.4228603650084458
Germany→Berlin,0,pos,orig,31,raw,0.002225560136139393,90578,"…
",0.0005971337668597698,14,0.4228603650084458
Germany→Berlin,0,pos,orig,32,norm,0.5201817154884338,20437, Berlin,0.5201817154884338,1,5.256533119384461
Germany→Berlin,0,pos,orig,32,raw,0.008456532843410969,20437, Berlin,0.008456532843410969,1,5.256533119384461
Germany→Berlin,0,pos,no_filler,14,norm,0.00015653336595278233,109153,№№,7.179130989243276e-06,62226,0.09573716304808821
Germany→Berlin,0,pos,no_filler,14,raw,1.347664601780707e-05,63075,'gc,7.708704288234003e-06,68728,0.09573716304808821
Germany→Berlin,0,pos,no_filler,15,norm,8.726958185434341e-05,124498,надлеж,9.281469829147682e-06,32868,0.07100434340196554
Germany→Berlin,0,pos,no_filler,15,raw,1.2816250091418624e-05,77436,#af,8.205725862353574e-06,36213,0.07100434340196554
Germany→Berlin,0,pos,no_filler,16,norm,0.00011791691213147715,124498,надлеж,8.891267498256639e-06,37663,0.07895621386412595
Germany→Berlin,0,pos,no_filler,16,raw,1.3520053471438587e-05,124498,надлеж,8.150539542839397e-06,40201,0.07895621386412595
Germany→Berlin,0,pos,no_filler,17,norm,5.934270302532241e-05,124498,надлеж,1.4326887139759492e-05,5529,0.059839149091084405
Germany→Berlin,0,pos,no_filler,17,raw,1.4001644558447879e-05,61755,ledo,9.44801104196813e-06,6814,0.059839149091084405
Germany→Berlin,0,pos,no_filler,18,norm,6.002741429256275e-05,6864, capital,1.7599848433746956e-05,2144,0.059471004103539046
Germany→Berlin,0,pos,no_filler,18,raw,1.6631958715151995e-05,6864, capital,1.035558307194151e-05,2536,0.059471004103539046
Germany→Berlin,0,pos,no_filler,19,norm,5.750422860728577e-05,75545,ABCDEFGHIJKLMNOP,1.6069014236563817e-05,3562,0.055103794905601355
Germany→Berlin,0,pos,no_filler,19,raw,1.7481674149166793e-05,6864, capital,1.0500998541829176e-05,3825,0.055103794905601355
Germany→Berlin,0,pos,no_filler,20,norm,8.552160579711199e-05,75545,ABCDEFGHIJKLMNOP,3.421445580897853e-05,58,0.05915883409439169
Germany→Berlin,0,pos,no_filler,20,raw,2.0532843336695805e-05,6864, capital,1.4804019883740693e-05,68,0.05915883409439169
Germany→Berlin,0,pos,no_filler,21,norm,8.711781993042678e-05,6864, capital,3.9035432564560324e-05,22,0.05094064849737022
Germany→Berlin,0,pos,no_filler,21,raw,2.636340468598064e-05,6864, capital,1.736231570248492e-05,32,0.05094064849737022
Germany→Berlin,0,pos,no_filler,22,norm,0.00013475761807058007,6864, capital,8.35185419418849e-05,2,0.055270838429709694
Germany→Berlin,0,pos,no_filler,22,raw,4.047236143378541e-05,6864, capital,2.962827966257464e-05,3,0.055270838429709694
Germany→Berlin,0,pos,no_filler,23,norm,0.00014462553372140974,6864, capital,0.00011269649985479191,2,0.04953637253187051
